Mapping_Id,Item_Id,Accessory_Id,Created_By,Created_At,Active
51,6,32,admin@admin.com,2/5/2026 9:20:25,TRUE
52,16,3,admin@admin.com,2/5/2026 9:35:28,TRUE
53,16,1,admin@admin.com,2/5/2026 9:37:51,TRUE
66,13,5,admin@admin.com,2/5/2026 10:06:32,TRUE
67,13,4,admin@admin.com,2/5/2026 10:07:01,TRUE
68,13,6,admin@admin.com,2/5/2026 10:07:24,TRUE
69,13,7,admin@admin.com,2/5/2026 10:07:45,TRUE
70,18,8,admin@admin.com,2/5/2026 10:12:03,TRUE
71,19,8,admin@admin.com,2/5/2026 10:12:03,TRUE
72,21,8,admin@admin.com,2/5/2026 10:12:03,TRUE
73,22,8,admin@admin.com,2/5/2026 10:12:03,TRUE
74,18,9,admin@admin.com,2/5/2026 10:12:40,TRUE
75,19,9,admin@admin.com,2/5/2026 10:12:40,TRUE
76,21,9,admin@admin.com,2/5/2026 10:12:40,TRUE
77,22,9,admin@admin.com,2/5/2026 10:12:40,TRUE
78,1,14,admin@admin.com,2/5/2026 10:18:01,TRUE
79,2,14,admin@admin.com,2/5/2026 10:18:01,TRUE
80,3,14,admin@admin.com,2/5/2026 10:18:01,TRUE
81,4,14,admin@admin.com,2/5/2026 10:18:01,TRUE
82,5,14,admin@admin.com,2/5/2026 10:18:01,TRUE
83,7,14,admin@admin.com,2/5/2026 10:18:01,TRUE
84,9,14,admin@admin.com,2/5/2026 10:18:01,TRUE
85,31,14,admin@admin.com,2/5/2026 10:18:01,TRUE
86,1,15,admin@admin.com,2/5/2026 10:27:43,TRUE
87,2,15,admin@admin.com,2/5/2026 10:27:43,TRUE
88,3,15,admin@admin.com,2/5/2026 10:27:43,TRUE
89,4,15,admin@admin.com,2/5/2026 10:27:43,TRUE
90,5,15,admin@admin.com,2/5/2026 10:27:43,TRUE
91,9,15,admin@admin.com,2/5/2026 10:27:43,TRUE
92,12,15,admin@admin.com,2/5/2026 10:27:43,TRUE
93,18,15,admin@admin.com,2/5/2026 10:27:43,TRUE
94,19,15,admin@admin.com,2/5/2026 10:27:43,TRUE
95,20,15,admin@admin.com,2/5/2026 10:27:43,TRUE
96,21,15,admin@admin.com,2/5/2026 10:27:43,TRUE
97,22,15,admin@admin.com,2/5/2026 10:27:43,TRUE
98,24,15,admin@admin.com,2/5/2026 10:27:43,TRUE
99,25,15,admin@admin.com,2/5/2026 10:27:43,TRUE
100,26,15,admin@admin.com,2/5/2026 10:27:43,TRUE
101,27,15,admin@admin.com,2/5/2026 10:27:43,TRUE
102,28,15,admin@admin.com,2/5/2026 10:27:43,TRUE
103,30,15,admin@admin.com,2/5/2026 10:27:43,TRUE
104,32,15,admin@admin.com,2/5/2026 10:27:43,TRUE
105,33,15,admin@admin.com,2/5/2026 10:27:43,TRUE
106,34,15,admin@admin.com,2/5/2026 10:27:43,TRUE
107,40,15,admin@admin.com,2/5/2026 10:27:43,TRUE
108,45,15,admin@admin.com,2/5/2026 10:27:43,TRUE
109,47,15,admin@admin.com,2/5/2026 10:27:43,TRUE
110,48,15,admin@admin.com,2/5/2026 10:27:43,TRUE
111,49,15,admin@admin.com,2/5/2026 10:27:43,TRUE
112,7,33,admin@admin.com,2/5/2026 10:33:52,TRUE
113,8,33,admin@admin.com,2/5/2026 10:33:52,TRUE
114,10,33,admin@admin.com,2/5/2026 10:33:52,TRUE
115,11,33,admin@admin.com,2/5/2026 10:33:52,TRUE
116,15,33,admin@admin.com,2/5/2026 10:33:52,TRUE
117,23,33,admin@admin.com,2/5/2026 10:33:52,TRUE
118,31,33,admin@admin.com,2/5/2026 10:33:52,TRUE
119,35,33,admin@admin.com,2/5/2026 10:33:52,TRUE
120,36,33,admin@admin.com,2/5/2026 10:33:52,TRUE
121,1,16,admin@admin.com,2/5/2026 10:35:37,TRUE
122,2,16,admin@admin.com,2/5/2026 10:35:37,TRUE
123,3,16,admin@admin.com,2/5/2026 10:35:37,TRUE
124,4,16,admin@admin.com,2/5/2026 10:35:37,TRUE
125,5,16,admin@admin.com,2/5/2026 10:35:37,TRUE
126,9,16,admin@admin.com,2/5/2026 10:35:37,TRUE
127,47,16,admin@admin.com,2/5/2026 10:35:37,TRUE
128,1,17,admin@admin.com,2/5/2026 10:38:59,TRUE
129,2,17,admin@admin.com,2/5/2026 10:38:59,TRUE
130,3,17,admin@admin.com,2/5/2026 10:38:59,TRUE
131,4,17,admin@admin.com,2/5/2026 10:38:59,TRUE
132,5,17,admin@admin.com,2/5/2026 10:38:59,TRUE
133,9,17,admin@admin.com,2/5/2026 10:38:59,TRUE
134,18,17,admin@admin.com,2/5/2026 10:38:59,TRUE
135,19,17,admin@admin.com,2/5/2026 10:38:59,TRUE
136,20,17,admin@admin.com,2/5/2026 10:38:59,TRUE
137,21,17,admin@admin.com,2/5/2026 10:38:59,TRUE
138,22,17,admin@admin.com,2/5/2026 10:38:59,TRUE
139,47,17,admin@admin.com,2/5/2026 10:38:59,TRUE
140,6,18,admin@admin.com,2/5/2026 10:45:45,TRUE
141,7,18,admin@admin.com,2/5/2026 10:45:45,TRUE
142,8,18,admin@admin.com,2/5/2026 10:45:45,TRUE
143,11,18,admin@admin.com,2/5/2026 10:45:45,TRUE
144,14,18,admin@admin.com,2/5/2026 10:45:45,TRUE
145,18,18,admin@admin.com,2/5/2026 10:45:45,TRUE
146,19,18,admin@admin.com,2/5/2026 10:45:45,TRUE
